"100 Demons
"
"Confession
"
"Confide
"
"Conquer Divide
"
"Converge[34][35][36]
"
"Corpus Christi
"
"Counterparts
"
"Cover Your Tracks
"
"The Crimson Armada
"
"Creation Is Crucifixion
"
"Crossfaith
"
"Crown the Empire
"
"Cry in December
"
"Cry of the Afflicted
"
"Crystal Lake
"
"Cult Leader
"
"Damnation A.D.
"
"Dar Sangre
"
"Darkest Hour
"
"Darkness Divided
"
"Darkness Dynamite
"
"Dayseeker
"
"A Day to Remember[37][38]
"
"Dead by April
"
"The Dead Rabbitts
"
"Deadguy
"
"Deathgaze
"
"Deez Nuts
"
"Demenzia
"
"Demise of Eros
"
"Demon Hunter
"
"Deny
"
"Design the Skyline
"
"Destroy the Runner
"
"Devil Sold His Soul
"
"The Devil Wears Prada
"
"Diecast
"
"The Dillinger Escape Plan[39][40][41]
"
"Disembodied
"
"Drop Dead, Gorgeous
"
"Drowningman
"
"Earth Crisis
"
"Eighteen Visions
"
"Elitist
"
"Elysia
"
"Embodyment
"
"Embrace the End
"
"Embrace Today
"
"Emmure[42]
"
"En Nuestros Corazones
"
"The End
"
"Enter Shikari
"
"Erra
"
"Escape the Fate[43][44][45]
"
"Eskimo Callboy
"
"Eso-Charis
"
"The Esoteric
"
"Eternal Lord
"
"Everdown
"
"Evergreen Terrace
"
"Every Time I Die[46][47][48]
"
"Every Knee Shall Bow
"
"Everyone Dies in Utah
"
"Evita
"
"The Eyes of a Traitor
"
"Eyes Set to Kill
"
"The Fall of Troy
"
"Falling in Reverse[49][50]
"
"Famous Last Words
"
"Fear, and Loathing in Las Vegas
"
"Fear Before
"
"Feed Her to the Sharks
"
"Fellsilent
"
"Few Left Standing
"
"Figure Four
"
"Fit for a King
"
"First Blood
"
"Focused
"
"For All I Am
"
"For All Those Sleeping
"
"For the Fallen Dreams
"
"For Today
"
"Forevermore
"
"From a Second Story Window
"
"From Autumn to Ashes
"
"From Her Eyes
"
"Frontside
"
"The Ghost Inside
"
"Gaza
"
"Get Scared
"
"Gideon
"
"Glamour of the Kill
"
"Glass Cloud
"
"God Forbid
"
"Goodbye to Gravity
"
"The Gorgeous
"
"Graf Orlock
"
"Graves of Valor
"
"The Great Commission
"
"The Great Deceiver
"
"Greeley Estates
"
"Gunmetal Grey
"
"Gwen Stacy
"
"Hands Like Houses
"
"Haste
"
"Haste the Day
"
"Hatebreed
"
"He Is Legend
"
"Heart in Hand
"
"Heaven Shall Burn
"
"Heavy Heavy Low Low
"
"Hesitation Wounds
"
"Himsa
"
"His Statue Falls
"
"Hogan's Heroes
"
"Hoods
"
"The Hope Conspiracy
"
"Hopes Die Last
"
"Horse the Band
"
"House vs. Hurricane
"
"The Human Abstract
"
"Hundredth
"
"I Killed the Prom Queen
"
"I Prevail
"
"I See Stars[51]
"
"I Set My Friends on Fire
"
"I, the Breather
"
"Ice Nine Kills[52]
"
"Imminence
"
"In Dying Arms
"
"In Fear and Faith
"
"In Hearts Wake
"
"In This Moment
"
"Inhale Exhale
"
"Integrity
"
"Interrogate
"
"Invent, Animate
"
"Ion Dissonance
"
"Issues[53][54][55]
"
"It Dies Today
"
"It Prevails
"
"Iwrestledabearonce
"
"Jamey Jasta
"
"Jamie's Elsewhere
"
"Jesuit
"
"Jesus Piece[56]
"
"Jinjer
"
"Johnny Truant
"
"Keelhaul
"
"The Killing Tree
"
"Killswitch Engage
"
"King 810
"
"Kingdom of Sorrow
"
"Knocked Loose
"
"Knuckledust
"
"Knut
"
"Kublai Khan
"
"Last Chance to Reason
"
"Lay It on the Line
"
"Leaders
"
"Letlive
"
"Life in Your Way
"
"A Life Once Lost
"
"Liferuiner
"
"Ligeia
"
"Light the Torch (formerly Devil You Know)
"
"Like Moths to Flames
"
"Living Sacrifice
"
"Loathe
"
"Luti-Kriss
"
"Lye By Mistake
"
"Madball
"
"Malevolence[57][58]
"
"Make Me Famous
"
"Memphis May Fire
"
"Merauder
"
"Misery Signals
"
"Miss May I
"
"More Than a Thousand
"
"Morning Again
"
"Most Precious Blood
"
"Motionless in White[59]
"
"My Ticket Home
"
"MyChildren MyBride
"
"Myka, Relocate
"
"Mutiny Within
"
"Narrows
"
"Nine Shrines
"
"No Innocent Victim
"
"No Sin Evades His Gaze
"
"Nora
"
"Norma Jean[60][61]
"
"Northlane
"
"The Number Twelve Looks Like You
"
"Oathbreaker
"
"Obey the Brave
"
"Oceans Ate Alaska
"
"Odd Project
"
"Of Mice & Men[62]
"
"Oh, Manhattan
"
"Oh, Sleeper
"
"Okilly Dokilly
"
"On Broken Wings
"
"Once Nothing
"
"One Morning Left
"
"The Ongoing Concept
"
"Our Last Night
"
"Overcast
"
"Overcome
"
"The Overseer
"
"Palisades
"
"Paria
"
"Parkway Drive[63][64]
"
"Phinehas
"
"A Plea for Purging
"
"Polaris
"
"The Plot in You
"
"Point of No Return
"
"Poison the Well
"
"Prayer for Cleansing
"
"Protest the Hero
"
"Psyopus
"
"Pulling Teeth
"
"Pyrrhon
"
"Racetraitor
"
"Rafflesia
"
"Raunchy
"
"Ravenface
"
"Reflections
"
"Righteous Vendetta
"
"Ringworm
"
"Rise and Fall
"
"Rise to Remain
"
"Rolo Tomassi
"
"Rorschach
"
"The Safety Fire
"
"Scarlet
"
"Scars of Tomorrow
"
"Secrets
"
"Senses Fail
"
"Sea of Treachery
"
"See You Next Tuesday
"
"Shadows Fall
"
"Shaped by Fate
"
"Shai Hulud
"
"Shattered Sun
"
"Showbread
"
"The Showdown
"
"Sikth
"
"Silent Civilian
"
"Silent Planet
"
"Silent Screams
"
"Silverstein
"
"Sirens and Sailors
"
"Skip the Foreplay
"
"Sky Eats Airplane
"
"Skycamefalling
"
"A Skylit Drive
"
"Slapshock
"
"Sleeping by the Riverside
"
"Sleeping Giant
"
"Sleeping With Sirens
"
"Society's Finest
"
"Some Girls
"
"Sonic Syndicate
"
"The Soulless
"
"The Sorrow
"
"Spitfire
"
"Starkweather
"
"Stick to Your Guns
"
"Stigmata
"
"Still Remains
"
"Straight Line Stitch
"
"Stray from the Path
"
"Strife
"
"Sworn In
"
"Sylar
"
"Sylosis
"
"Sympathy for Nothing
"
"System Divide
"
"Tear Out the Heart
"
"Terror
"
"Texas in July
"
"Textures
"
"These Arms Are Snakes
"
"This Day Forward
"
"This or the Apocalypse
"
"Thornhill
"
"Threat Signal
"
"Throwdown
"
"Times of Grace
"
"To Speak of Wolves
"
"The Tony Danza Tapdance Extravaganza
"
"A Tragedy in Progress
"
"Training for Utopia
"
"Trenches
"
"Trivium[65][66][67]
"
"Twelve Gauge Valentine
"
"Twelve Tribes
"
"Unashamed
"
"Underoath[68][69]
"
"Unearth
"
"Upon a Burning Body
"
"Upon This Dawning
"
"A Vacant Affair
"
"Vanna
"
"Varials
"
"Vassline
"
"Veil of Maya
"
"Versus Me
"
"Vision of Disorder
"
"Volumes
"
"Wage War
"
"Walls of Jericho
"
"War from a Harlots Mouth
"
"War of Ages
"
"We Are Defiance
"
"We Butter the Bread with Butter
"
"We Came as Romans[70]
"
"While She Sleeps
"
"The White Noise
"
"Will Haven
"
"Within the Ruins
"
"Woe, Is Me[71]
"
"Wolves at the Gate
"
"The Word Alive
"
"Wovenwar
"
"xDeathstarx
"
"Xibalba
"
"Yashin
"
"Years Since the Storm
"
"Your Demise
"
"Your Memorial
"
"Zao
"
