         
         
36 Crazyfists[2][3]        
Letlive.[159]         
Ling Tosite Sigure[160]       
A Lot Like Birds[161][162]      
Lower Than Atlantis[163]       
Lowercase[164]         
Lungfish[165]         
         
         
         
Majority Rule[64]        
Mallory Knox[166]        
Mclusky[167]         
The Men[168]        
MewithoutYou[169][170]         
Mohinder[45]         
Moss Icon[171]        
My Chemical Romance[172][173][174]       
My First Story[175][176]       
         
         
         
Naked Raygun[34][177]        
The Nation of Ulysses[26][45]      
Neurosis[178]         
Nomeansno[179]         
         
         
         
Oathbreaker[180][181]         
Of Mice & Men[182]      
One Ok Rock[183]       
Orchid[64]         
Our Last Night[184]       
         
         
         
Petrol Girls[185]        
Pg.99[64]         
Picture Me Broken[186]       
Pierce the Veil[187][188][189][190]       
Pile[191]         
Planes Mistaken for Stars[192]      
The Plot to Blow Up the Eiffel Tower[26][193]  
         
         
         
Pvris[194]         
         
         
         
Q and Not U[26][195][196]      
Quicksand[26]         
         
         
         
Rapeman[197]         
The Receiving End of Sirens[198][199]     
The Red Jumpsuit Apparatus[200][201]      
Refused[202]         
Rites of Spring[203]       
Riverbeds[204]         
Rollins Band[205]        
Rolo Tomassi[206]        
         
         
         
Saccharine Trust[207]        
Sainthood Reps[208]        
Saosin[209][210][211]         
Scary Kids Scaring Kids[212]      
Scratch Acid[213]        
Secret & Whisper[214]       
SECRETS[215]         
Senses Fail[216]        
Shadows Chasing Ghosts[217]       
Shellac[26]         
Shudder to Think[26]       
Silverstein[218][219][220]         
Six Finger Satellite[45]       
A Skylit Drive[221]       
The Sleeping[222]        
Sleeping with Sirens[223][224][225][226][227]       
Slint[228]         
Smart Went Crazy[229]       
Snow White's Poison Bite[230]      
Soulside[231]         
State Faults[232]        
A Static Lullaby[233]       
Story of the Year[234]      
Svalbard[235]         
Swing Kids[236]        
         
         
         
Taking Back Sunday[237][238]       
These Arms Are Snakes[26]      
A Thorn for Every Heart[239]     
Thrice[240][241][242][243]         
Thursday[244]         
Title Fight[245][246]        
Too Close to Touch[247]      
Touché Amoré[248]        
Trenchmouth[26]         
         
         
         
Underoath[249][250]         
Universal Order of Armageddon[251]      
Unwound[26][45]         
The Used[252][253]        
         
         
         
The Venetia Fair[254]       
The VSS[255]        
         
         
         
The Warmers[256]        
We Are Defiance[257]       
We Are the Ocean[258]      
We Came as Romans[259][260][261]      
         
         
         
         
Yashin[262]         
Young Widows[263]        
Youth In Revolt[264]       
